date,portfolio,ret
2012-03-21,high,-0.0021903218687155347
2012-03-22,low,-0.01529816266929774
2012-03-22,high,-0.0031867968921992923
2012-03-23,low,0.008950789503087274
2012-03-23,high,0.006902455310757082
2012-03-26,low,0.004416472864591017
2012-03-26,high,0.003433966137207397
2012-03-27,low,-0.00038212110772645457
2012-03-27,high,-0.0005539929820539904
2012-03-28,low,-0.015028854551399646
2012-03-28,high,-0.005140031417818111
2012-03-29,low,-0.013865260283717559
2012-03-29,high,-0.009285918183535236
2012-03-30,low,0.020504580837083723
2012-03-30,high,0.00646743649821371
2012-04-02,low,0.0043683562493151105
2012-04-02,high,0.010868836488213449
2012-04-03,low,-0.0006741691199134859
2012-04-03,high,-0.005170580975764176
2012-04-04,low,-0.019453960156057343
2012-04-04,high,-0.015281876677973082
2012-04-05,low,0.0009213717064260453
2012-04-05,high,0.007570402444030177
2012-04-09,low,-0.0050576428999041115
2012-04-09,high,-0.0030833983001573584
2012-04-10,low,-0.016155669441577987
2012-04-10,high,-0.008792701256487229
2012-04-11,low,-0.0016368617239882317
2012-04-11,high,0.002591644921776524
2012-04-12,low,0.01608921214216001
2012-04-12,high,0.014437457792462772
2012-04-13,low,-0.010331878537330029
2012-04-13,high,-0.007161689406243379
2012-04-16,low,-0.00559632200040319
2012-04-16,high,-0.011342041157024335
2012-04-17,low,-0.00016071223818377308
2012-04-17,high,0.00932202077523504
2012-04-18,low,-0.005909126806274387
2012-04-18,high,-0.011669754088343365
2012-04-19,low,0.00611403093271687
2012-04-19,high,-0.0004776578897446953
2012-04-20,low,0.004727523781252406
2012-04-20,high,0.004964057835311041
2012-04-23,low,-0.0021579817757162393
2012-04-23,high,-0.005541320439065821
2012-04-24,low,0.00506238454519639
2012-04-24,high,0.001073881903043335
2012-04-25,low,-0.003831000385291853
2012-04-25,high,0.0060353114533774
2012-04-26,low,0.005428482391107187
2012-04-26,high,0.0056514451576723905
2012-04-27,low,0.01580270977128786
2012-04-27,high,0.0021183882743981666
2012-04-30,low,-0.001457511525441851
2012-04-30,high,-0.0019269273104284192
2012-05-01,low,-0.00012670480206075933
2012-05-01,high,-0.005681382735609541
2012-05-02,low,-0.01586898776804358
2012-05-02,high,-0.009988490494308952
2012-05-03,low,-0.008564082982211464
2012-05-03,high,-0.002602647563301116
2012-05-04,low,-0.007532108276829736
2012-05-04,high,-0.00806797725061323
2012-05-07,low,0.001955769970811915
2012-05-07,high,-0.002597778407685244
